Address,City,State,Zip,Name,geo_longitude,geo_latitude,geo_accuracy,Description,Link,Year,Historic Property
17539 Elizabeth Lake Rd, Lake Hughes,CA,93532,The Rock Inn,,,,With a castle-like exterior built of river rocks this inn serves American food and burgers.,http://www.historicrockinn.com/,1929,
41 W. Huntington Dr., Arcadia,CA,91007,Rod's Grill,,,,"Well-preserved mid century diner with turquoise leather booths, laminate tables  river rock exterior.",http://dinerwood.blogspot.com/2010/02/rods-grill-back-off-arcadia-were.html,1946,
2318 Newport Blvd, Newport Beach,CA,92663,Woody's Wharf,-117.9284405,33.6241989,primary,Waterfront sea food restaurant with wooden booths and a vintage pier-like feel. Great sign.,http://www.woodyswharf.com/history,1965,
5825 Whittier Blvd, Los Angeles,CA,90022,Chronis Famous Sandwich Shop,11.3400106,51.3258094,locality,Walk-up sandwich stand in business since 1945. At this location since 1953.,http://chronisfamoussandwichshop.com/,1953,
14742 Oxnard St., Van Nuys,CA,91411,Bill & Hiroko's,-118.4540879,34.17930536,house,Walk-up hamburger shack with stools and a small counter.,http://articles.latimes.com/2014/mar/14/local/la-me-bills-burgers-20140315,1965,
4301 W Pico Blvd, Los Angeles,CA,90019,Capitol Burger,-118.328209,34.04804,house,"Walk-up burger joint with great sign. No frills, back to basic.",http://www.yelp.com/biz/capitol-burgers-los-angeles,1965,
170 W Channel Rd, Santa Monica,CA,90402,Golden Bull Restaurant,,,,Vintage steakhouse with burgundy leather booths and original sign.,http://www.goldenbull.us/,1950,
4420 Lakeside Dr, Burbank,CA,91505,The Smoke House Restaurant,-118.3414785,34.14568956,house,"Vintage steakhouse and lounge red leather booths, original signs. Moved to this location in 1949.",http://www.smokehouse1946.com/smokehouse_legacy.html,1946,
2809 Agoura Rd, Westlake Village,CA,91361,Casa Escobar,-118.825074,34.15042202,house,Vintage Mexican restaurant with a completely remodeled modern-style interior.,http://www.casaescobar.com/,1946,
8749 Valley Blvd, Rosemead,CA,91770,Jim's Famous Quarterpound Burger,-118.0790549,34.08070043,house,Vintage fast food burger joint on its second owner.,http://jimsburgerrosemead.com/www.jimsburgerrosemead.com/History.html,1960,
2018 W Burbank Blvd, Burbank,CA,91506,Chili John's,,,,Vintage diner with a U-shaped counter serving only chili items. The 2nd location of 1913 Wisconsin restaurant.,http://en.wikipedia.org/wiki/Chili_John%27s,1946,
24209 Avalon Blvd, Carson,CA,90745,Domenick's Pizza House,-118.2641016,33.80559769,house,Upscale Italian opened as a private club and Rat Pack hang; has had several owners through the years.,http://www.yelp.com/biz/domenicks-pizza-house-carson-2,1956,
8715 Beverly Blvd, West Hollywood,CA,90048,Dominick,-118.3812932,34.07692961,house,Upscale Italian opened as a private club and Rat Pack hang has had several owners through the years.,http://www.dominicksrestaurant.com/,1948,
4615 Lankershim Blvd, North Hollywood,CA,91602,Le Petit Chateau,-118.368492,34.154565,house,Upscale French cuisine in a mini castle. Inside are vaulted ceilings  green leather booths.,http://tolucantimes.info/banner-story/le-petit-chateau-celebrates-their-50th-anniversary/,1965,
7001 Franklin Ave, Los Angeles,CA,90028,The Magic Castle,,,,Upscale dining surrounded by vintage magic memorabilia at this members only club.,http://www.magiccastle.com/visiting/index.cfm,1963,
10000 S Crawford Cyn Rd, North Tustin,CA,92705,Orange County Mining Co.,,,,Upscale 821770s rustic vibe with hilltop views and a 8220saloon8221. Steak and seafood.,http://www.orangecountyminingco.com/,1974,
1310 W 6th St, Los Angeles,CA,90017,Pacific Dining Car,-118.266461,34.055781,house,Upscale 24-hour steakhouse in a recreated and ornately decorated train car. At this location since 1923.,http://www.pacificdiningcar.com/since_1921.html,1921,
2932 E Chapman Ave, Orange,CA,92869,The Hobbit Restaurant,-117.8216739,33.78771333,house,"Unique upscale dining experience in an old home and wine cellar. Prix-fixe, multi-course.",http://www.hobbitrestaurant.com/experience-q10002-Overview.aspx,1972,
3114 Beverly Blvd, Los Angeles,CA,90057,Shibucho,-118.2824631,34.07185386,house,"Traditional, yet pricey sushi at one of L.A. earliest sushi bars, opened several years before the 821780s trend.",http://www.shibucho.com/,1976,
840 E. Whittier Blvd., La Habra,CA,90631,El Cholo,-117.9395565,33.939035,house,Traditional Mexican served in a restaurant opened by the son of the owners of the original El Cholo on Western Ave.,http://elcholo.com/location/la-habra,1962,
738 Rose Ave, Venice,CA,90291,La Caba̱a,-118.4623119,34.00441,tertiary,Traditional Mexican food in a dimly lit room with mariachis serenading.,http://www.lacabanavenice.com/,1963,
12224 Ventura Blvd, Studio City,CA,91604,Art Delicatessen,-118.397927,34.143245,house,"Traditional Jewish deli. Its had some remodeling, but displays one the original neon signs out front.",http://artsdeli.com/,1957,
1828 N Tustin Ave, Santa Ana,CA,92705,Benjie Deli,-117.8357586,33.7695479,primary,"Traditional Jewish Deli. Authentic, with deep orange booths and counter seats, laminate wood and a deli case.",http://www.benjiesdeli.com/,1966,
21743 Devonshire St, Chatsworth,CA,91311,Los Toros Mexican Restaurant,-118.6031092,34.2573118,house,Traditional family-style Mexican restaurant with gorgeously tiled bar.,http://www.lostoros.com/,1967,
116 Santa Monica Blvd, Santa Monica,CA,90401,Ye Olde King Head,-118.4965769,34.0152827,primary,Traditional English pub with 821770s style dining area serving classic British food.,http://www.yeoldekingshead.com/about-us/,1974,
25861 Railroad Ave, Santa Clarita,CA,91355,The Saugus Cafe,-118.5409575,34.41279725,house,"Traditional cafe, with bar attached. Opened in 1887 at another location. Rebuilt in 1952.",http://www.scvhistory.com/scvhistory/sauguscafe.htm,1905,
121 W California Ave, Glendale,CA,91203,The Great White Hut,,,,"Tiny, longtime corner burger  taco stand with stool seating. Painted with retro themes.",http://www.yelp.com/biz/the-great-white-hut-glendale-2,1947,
1551 Victory Blvd, Glendale,CA,91201,Pecos Bill BBQ,-118.2976584,34.15940557,house,"Tiny, authentic BBQ shack with a take-out window serving a limited meat-centic menu. Great old sign and a few plastic tables set up on the sidewalk.",http://www.yelp.com/biz/pecos-bills-bbq-glendale,1946,
10558 W Pico Blvd, Los Angeles,CA,90064,Marty's Hamburger Stand,-118.4206309,34.04414588,house,Tiny walk-up hamburger stand with original sign and a counter and stools for eating.,http://www.burgerweekly.com/martys-hamburger-stand/,1959,
21532 Devonshire St, Chatsworth,CA,91311,The Munch Box,-118.5709847,34.2572427,primary,Tiny walk-up hamburger stand with jet-age sloped roof made a historic-cultural monument in 2003.,http://articles.latimes.com/2003/mar/19/local/me-munch19,1956,
1803 N Main St, Los Angeles,CA,90031,Lanza Brothers Market,-118.2211867,34.06679067,house,Tiny neighborhood grocery market that serves up much beloved Italian deli sandwiches. A few cafe tables outside of this vintage brick building are available for curbside eating.,http://www.yelp.com/biz/lanza-brothers-market-los-angeles,1926,
2216 W 5th St, Santa Ana,CA,92703,Sari̱ana's Tamale Factory,-117.898247,33.748666,house,"Tiny former house with a few tables, known as the oldest Mexican restaurant in Orange County.",http://ocmexfood.blogspot.com/2012/05/sarinanas-tamales-factory.html,1939,
709 N La Brea Ave, Los Angeles,CA,90039,Pink's Hot Dogs,,,,This famous chili dog stand was started as a push cart. The current building was built in 1947.,http://www.pinkshollywood.com/history.html,1939,
116 E Chapman Ave, Orange,CA,92866,Watson Drugs & Soda Fountain,-117.8522545,33.7875999,restaurant,This drugstore opened in 1899. In 1915 they began serving ice cream and comfort food.,http://www.watsonsdrugs.com/history.htm,1915,
10207 Lakewood Blvd, Downey,CA,90241,McDonald's,-118.1172879,33.94731352,house,"The oldest working location of the fast food chain. The original architecture is unchanged; an incredible animated neon sign of their first mascot, Speedee, was added in 1959.",http://en.wikipedia.org/wiki/Oldest_McDonald%27s_restaurant,1953,
1121 Western Ave, Los Angeles,CA,90006,El Cholo,-118.3091423,34.05010455,house,"The oldest Mexican restaurant in L.A., it opened in 1923 as the Sonora Cafe on Broadway. ",http://elcholo.com/our-story,1927,
1646 N Las Palmas Ave, Los Angeles,CA,90028,Miceli's,-118.3360274,34.10058212,house,"The oldest Italian restaurant in Hollywood brick, red leather, hanging chianti bottles  a piano bar.",http://www.micelisrestaurant.com/,1949,
6333 West Third Street,Los Angeles,CA,90036,Magee's Kitchen,,,,The first restaurant in the Original Farmer Market is known for its corned beef.,http://www.mageesnuts.com/information.php?info_id=4,1934,
9243 Lakewood Blvd, Downey,CA,90240,Chris & Pitts,-118.1130407,33.95547177,house,"The 6th opened of a BBQ chain that only has 3 left. Rustic, woody interior meant to suggest a log cabin.",http://www.yelp.com/biz/chris-and-pitts-downey,1953,
9839 Artesia Blvd, Bellflower,CA,90706,Chris & Pitts,-118.1244673,33.87491918,house,The 4th location opened of a BBQ chain that only has 3 left. Amazing signage and a faux log cabin painted exterior.,http://www.yelp.com/biz/chris-and-pitts-bellflower,1946,
14305 Firestone Blvd, La Mirada,CA,90638,Clearman Northwoods Inn,-118.0262303,33.88418303,house,"Technically not vintage, it is a great kitschy replica of its San Gabriel  Covina cousins.",http://clearmansrestaurants.com/north-woods-la-mirada/,1989,
2366 Glendale Blvd, Los Angeles,CA,90039,Red Lion Tavern,-118.2591253,34.09925853,house,"tavern opened by the owners of Cole. Once an Old English pub, it became German in 821763.",http://www.redliontavern.net/about-us.html,1959,
42505 Pacific Coast Hwy, Malibu,CA,90265,Neptune Net,-118.6911512,34.0346752,primary,Take-out seafood ocean side. The restaurant side is original from 1956 and the rest has been added.,http://neptunesnet.com/?page_id=41,1956,
611 N Henry Ford Ave, Wilmington,CA,90744,The Chowder Barge,-118.2408522,33.7765713,primary,"Surf  turf. L.A. only floating restaurant. Casual, 1970s laid back fishing dock atmosphere.",http://www.chowderbarge.com/about.html,1974,
6410 E Chapman Ave, Orange,CA,92869,Orange Hill Restaurant,-117.7762235,33.7961261,primary,"Surf  turf. Elegant restaurant with wood beamed ceilings, white table clothes and sweeping views.",http://blog.anaheimoc.org/blog-post/2013/01/16/restaurant-review-orange-hill-orange,1972,
5332 East Stevens Place, Commerce,CA,90040,Steven's Steakhouse,,,,"Steakhouse with spectacular signs, leather booths, beveled glass  a vintage bar.",http://www.stevenssteakhouse.com/,1952,
8189 E Foothill Blvd, Rancho Cucamonga,CA,91730,Magic Lamp Inn,,,,"Steakhouse with incredible neon, true vintage interior; red leather booths, dark planked wood ceiling, stained glass and brick fireplace.",http://www.themagiclampinn.com/history.aspx,1955,
